== where one token's master clocks go (last position) ==
stage                wall   share
embed+pos           22808   0.66%
L0 Wq              105452   3.04%
L0 Wk              106192   3.06%
L0 Wv              105240   3.03%
L0 attention       319076   9.19%
L0 Wo              111388   3.21%
L0 W1              201544   5.81%
L0 W2              179456   5.17%
L1 Wq              103128   2.97%
L1 Wk              105336   3.04%
L1 Wv              101964   2.94%
L1 attention       319140   9.20%
L1 Wo              110736   3.19%
L1 W1              199228   5.74%
L1 W2              174176   5.02%
L2 Wq              101412   2.92%
L2 Wk              103840   2.99%
L2 Wv              103088   2.97%
L2 attention       317520   9.15%
L2 Wo              109612   3.16%
L2 W1              199156   5.74%
L2 W2              174104   5.02%
head                96956   2.79%
TOTAL             3470549

  matmul          2395050   69.01%
  attention        955735   27.54%
  embed/head       119764    3.45%
